Day,Time,Group,Food Name,Amount,Energy (kcal),Oxalate (mg),Water (g),B1 (Thiamine) (mg),B2 (Riboflavin) (mg),B3 (Niacin) (mg),B5 (Pantothenic Acid) (mg),B6 (Pyridoxine) (mg),B12 (Cobalamin) (µg),Alpha-carotene (µg),Beta-carotene (µg),Beta-cryptoxanthin (µg),Choline (mg),Folate (µg),Lutein+Zeaxanthin (µg),Lycopene (µg),Vitamin A (µg),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (µg),Calcium (mg),Copper (mg),Iodine (µg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Potassium (mg),Selenium (µg),Sodium (mg),Zinc (mg),Carbs (g),Fiber (g),Fructose (g),Starch (g),Sucrose (g),Sugars (g),Net Carbs (g),Fat (g),Cholesterol (mg),Monounsaturated (g),Polyunsaturated (g),Saturated (g),Trans-Fats (g),Omega-3 (g),Omega-6 (g),Alanine (g),Arginine (g),Aspartic acid (g),Cystine (g),Glutamic acid (g),Glycine (g),Histidine (g),Hydroxyproline (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Phenylalanine (g),Proline (g),Protein (g),Serine (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g),Category
2023-10-15,,"Supplements","Banana, Fresh","75.00 g",66.75,4.28,56.18,0.02,0.05,0.50,0.25,0.28,0.00,18.75,19.50,0.00,7.35,15.00,16.50,0.00,2.41,6.52,0.00,0.10,0.38,3.75,0.06,0.23,0.20,20.25,0.20,16.50,268.50,0.75,0.75,0.11,17.13,1.95,3.64,4.04,1.79,9.17,15.17,0.25,0.00,0.02,0.05,0.08,0.00,0.02,0.03,0.03,0.04,0.09,0.01,0.11,0.03,0.06,,0.02,0.05,0.04,0.01,0.04,0.02,0.82,0.03,0.02,0.01,0.01,0.04,"Fruits and Fruit Juices"
2023-10-15,,"Supplements","Strawberries, Frozen, Unsweetened","75.00 g",26.25,3.38,67.48,0.02,0.03,0.35,0.08,0.02,0.00,0.00,20.25,0.00,4.28,12.75,19.50,0.00,1.69,30.90,0.00,0.22,1.65,12.00,0.04,0.30,0.56,8.25,0.22,9.75,111.00,0.52,1.50,0.10,6.85,1.58,1.63,0.00,0.28,3.42,5.11,0.08,0.00,0.01,0.04,0.00,0.00,0.02,0.02,0.02,0.01,0.07,0.00,0.05,0.01,0.01,,0.01,0.02,0.01,0.00,0.01,0.01,0.32,0.01,0.01,0.00,0.01,0.01,"Fruits and Fruit Juices"
2023-10-15,,"Supplements","Rooibos Tea","0.00 cup",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,""
2023-10-15,,"Supplements","Strawberries, Frozen, Unsweetened","325.00 g",113.75,14.63,292.40,0.07,0.12,1.50,0.35,0.09,0.00,0.00,87.75,0.00,18.53,55.25,84.50,0.00,7.31,133.90,0.00,0.94,7.15,52.00,0.16,1.30,2.44,35.75,0.94,42.25,481.00,2.28,6.50,0.42,29.67,6.83,7.05,0.00,1.20,14.82,22.15,0.36,0.00,0.05,0.18,0.02,0.00,0.07,0.10,0.07,0.06,0.31,0.01,0.20,0.06,0.03,,0.03,0.07,0.06,0.00,0.04,0.04,1.40,0.05,0.04,0.02,0.05,0.04,"Fruits and Fruit Juices"
2023-10-15,,"Supplements","Walnuts","45.00 g",294.30,33.30,1.83,0.15,0.07,0.51,0.26,0.24,0.00,0.00,5.40,0.00,17.64,44.10,4.05,0.00,0.45,0.59,0.00,0.31,1.22,44.10,0.71,,1.31,71.10,1.54,155.70,198.45,2.21,0.90,1.39,6.17,3.02,0.04,0.03,1.09,1.17,3.07,29.34,0.00,4.02,21.23,2.76,0.00,4.09,17.14,0.31,1.03,0.82,0.09,1.27,0.37,0.18,,0.28,0.53,0.19,0.11,0.32,0.32,6.85,0.42,0.27,0.08,0.18,0.34,"Nut and Seed Products"
2023-10-15,,"Supplements","Raspberries, Frozen, Unsweetened","0.00 g",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Fruits and Fruit Juices"
2023-10-15,,"Supplements","Mango, frozen","310.00 g",186.00,1.40,258.73,0.09,0.12,2.07,0.61,0.37,0.00,27.90,1984.00,31.00,23.56,133.30,71.30,9.30,167.79,112.84,0.00,2.79,13.02,34.10,0.34,,0.50,31.00,0.20,43.40,520.80,1.86,3.10,0.28,46.44,4.96,14.51,0.71,21.61,42.35,40.98,1.18,0.00,0.43,0.22,0.29,0.00,0.16,0.06,0.25,0.10,0.21,0.00,0.30,0.11,0.06,,0.09,0.16,0.20,0.02,0.08,0.09,2.54,0.11,0.10,0.04,0.05,0.13,"Fruits and Fruit Juices"
2023-10-16,,"Notes","Beef Liver","142.00 g",271.22,6.11,83.51,0.28,4.86,24.89,10.10,1.44,100.22,15.62,230.04,15.62,604.92,359.26,0.00,0.00,13408.23,2.70,69.58,0.72,4.69,8.52,20.28,,9.29,29.82,0.51,705.74,499.84,51.26,112.18,7.53,7.28,0.00,0.00,7.28,0.00,0.00,7.28,7.47,562.32,1.60,1.57,4.18,0.52,0.02,1.54,2.31,2.46,3.83,0.75,5.19,2.31,1.25,,1.92,3.79,3.19,1.08,2.15,1.91,41.29,1.80,1.73,0.52,1.60,2.50,"Beef Products"
2023-10-16,,"Staples","Broccoli, Cooked from Frozen","145.23 g",40.66,6.39,131.75,0.08,0.12,0.67,0.40,0.19,0.00,27.59,867.01,1.45,23.53,81.33,1590.24,0.00,73.46,58.24,0.00,1.64,127.95,47.93,0.05,0.73,0.89,18.88,0.32,71.16,206.22,1.02,15.98,0.41,7.77,4.36,0.73,0.99,0.73,2.13,3.41,0.17,0.00,0.01,0.08,0.03,0.00,0.06,0.00,0.19,0.23,0.34,0.03,0.61,0.15,0.08,,0.18,0.21,0.23,0.05,0.14,0.18,4.50,0.16,0.15,0.05,0.10,0.21,"Vegetables and Vegetable Products"
2023-10-16,,"Staples","Cauliflower, Cooked from Frozen","72.68 g",13.81,2.40,68.32,0.03,0.04,0.23,0.07,0.06,0.00,0.00,4.36,0.00,24.35,29.80,17.44,0.00,0.36,22.75,0.00,0.04,8.65,12.36,0.02,0.44,0.30,6.54,0.11,17.44,101.02,0.44,13.08,0.09,2.73,1.96,0.25,0.14,0.03,0.56,0.73,0.16,0.00,0.01,0.08,0.02,0.00,0.06,0.00,0.06,0.06,0.14,0.01,0.16,0.04,0.02,,0.04,0.07,0.06,0.02,0.04,0.05,1.17,0.06,0.04,0.02,0.03,0.06,"Vegetables and Vegetable Products"
2023-10-16,,"Staples","Brussels Sprouts, Cooked from Frozen","72.68 g",30.53,4.43,63.04,0.07,0.08,0.39,0.25,0.21,0.00,0.00,403.37,0.00,13.15,73.41,1119.99,0.00,33.61,33.21,0.00,0.37,140.63,18.90,0.02,0.36,0.35,13.08,0.15,40.70,210.77,0.44,10.90,0.17,6.05,2.98,0.57,0.44,0.30,1.51,3.01,0.28,0.00,0.02,0.15,0.06,0.00,0.09,0.00,0.09,0.16,0.25,0.02,0.61,0.06,0.06,,0.10,0.12,0.12,0.03,0.08,0.10,2.65,0.11,0.09,0.03,0.04,0.12,"Vegetables and Vegetable Products"
2023-10-16,,"Staples","Carrots, Cooked From Frozen","72.68 g",26.89,13.37,65.64,0.02,0.03,0.30,0.13,0.06,0.00,2700.76,5958.98,144.63,6.25,7.99,491.31,0.00,615.14,1.67,0.00,0.59,9.88,25.44,0.06,,0.39,7.99,0.12,22.53,139.54,0.44,42.88,0.25,5.62,2.40,0.20,0.23,2.50,2.97,3.06,0.49,0.00,0.02,0.24,0.09,0.00,0.03,0.00,0.05,0.04,0.09,0.04,0.17,0.02,0.02,,0.03,0.05,0.05,0.01,0.03,0.02,0.42,0.02,0.09,0.01,0.02,0.03,"Vegetables and Vegetable Products"
2023-10-16,,"Staples","Kale, Cooked from Frozen","145.23 g",52.28,2.47,130.44,0.09,0.20,0.66,0.25,0.09,0.00,14.52,2513.89,37.76,0.73,94.40,7236.68,0.00,211.67,25.85,0.00,2.34,607.78,217.84,0.10,,1.22,36.31,0.79,61.00,209.13,1.45,23.24,0.39,7.70,3.34,0.61,0.42,0.36,1.76,4.23,1.76,0.00,0.13,0.87,0.23,0.00,0.49,0.37,0.21,0.24,0.38,0.06,0.48,0.20,0.25,,0.26,0.30,0.26,0.04,0.22,0.25,4.27,0.18,0.19,0.05,0.15,0.23,"Vegetables and Vegetable Products"
2023-10-16,,"Staples","Green Bell Peppers, Raw","20.17 g",4.03,2.28,18.94,0.01,0.01,0.10,0.02,0.05,0.00,4.24,41.96,1.41,1.11,2.02,68.78,0.00,3.73,16.22,0.00,0.02,1.43,2.02,0.01,0.08,0.07,2.02,0.02,4.03,35.30,0.00,0.61,0.03,0.94,0.34,0.23,0.00,0.02,0.48,0.58,0.03,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.01,0.01,0.04,0.00,0.04,0.01,0.00,,0.00,0.01,0.01,0.00,0.02,0.00,0.17,0.01,0.01,0.00,0.00,0.01,"Vegetables and Vegetable Products"
2023-10-16,,"Staples","Yellow Bell Pepper, Raw","20.81 g",5.62,2.35,19.15,0.01,0.01,0.19,0.03,0.03,0.00,27.26,24.97,0.00,1.17,5.41,160.25,0.00,3.22,38.19,0.00,0.08,0.49,2.29,0.02,,0.10,2.50,0.02,4.99,44.12,0.06,0.42,0.04,1.32,0.19,0.64,0.00,0.00,1.09,1.11,0.04,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.01,0.03,0.00,0.03,0.01,0.00,,0.01,0.01,0.01,0.00,0.01,0.01,0.21,0.01,0.01,0.00,0.00,0.01,"Vegetables and Vegetable Products"
2023-10-16,,"Staples","Red Bell Peppers, Raw","30.42 g",7.91,1.34,28.05,0.02,0.03,0.30,0.10,0.09,0.00,6.08,493.96,149.04,1.70,13.99,15.51,452.60,47.63,38.84,0.00,0.48,1.49,2.13,0.01,,0.13,3.65,0.03,7.91,64.18,0.03,1.22,0.08,1.83,0.64,0.69,0.00,0.00,1.28,1.17,0.09,0.00,0.00,0.05,0.02,0.00,0.02,0.00,0.01,0.01,0.09,0.01,0.06,0.01,0.01,,0.01,0.01,0.01,0.00,0.02,0.01,0.30,0.02,0.01,0.00,0.00,0.01,"Vegetables and Vegetable Products"
2023-10-16,,"Staples","Okra, Raw","72.68 g",23.98,44.70,65.11,0.15,0.04,0.73,0.18,0.16,0.00,19.62,302.35,0.00,8.94,43.61,203.50,0.00,26.04,16.72,0.00,0.20,22.75,59.60,0.08,,0.45,41.43,0.57,44.33,217.31,0.51,5.09,0.42,5.41,2.33,0.41,0.25,0.44,1.08,3.06,0.14,0.00,0.01,0.02,0.02,0.00,0.00,0.02,0.05,0.06,0.11,0.01,0.20,0.03,0.02,,0.05,0.08,0.06,0.02,0.05,0.03,1.40,0.03,0.05,0.01,0.06,0.07,"Vegetables and Vegetable Products"
2023-10-16,,"Staples","Artichoke Hearts or Globe, Cooked from Frozen","54.43 g",28.85,3.70,45.76,0.03,0.05,0.60,0.13,0.04,0.00,0.00,4.35,0.00,18.72,48.44,252.55,0.00,0.36,4.03,0.00,0.10,8.06,11.43,0.07,,0.33,22.86,0.12,39.73,155.67,0.11,32.66,0.22,6.50,3.10,0.01,0.00,0.40,0.54,3.32,0.19,0.00,0.01,0.08,0.04,0.00,0.02,0.00,0.11,0.10,0.10,0.00,0.19,0.08,0.06,,0.10,0.15,0.14,0.00,0.12,0.00,1.57,0.12,0.12,0.00,0.06,0.13,"Vegetables and Vegetable Products"
2023-10-16,9:00 AM,"Staples","Zinc Balance (Jarrow Formulas)","1.00 pill",,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,15.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2023-10-16,,"Staples","Aspirin","81.00 mg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2023-10-16,,"Staples","Rosuvastatin","10.00 mg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2023-10-16,,"Staples","Jarrow Formulas, EPA-DHA Balance","3.00 softgel",30.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,0.00,1.80,,,,,,,,,,,,,,,,,,,,,,""
2023-10-16,,"Staples","Creatine Monohydrate","5.00 g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2023-10-16,,"Staples","Vitamin D","2.00 x 1000.0 IU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2023-10-16,,"Staples","Fish, Salmon, Pink, Canned, Drained Solids","139.00 g",191.82,,98.29,0.04,0.28,10.30,0.78,0.15,6.88,,,,122.04,5.56,,,27.80,,806.20,1.78,0.14,393.37,0.11,,1.07,44.48,0.04,526.81,462.87,54.91,529.59,1.33,,,,,,,,6.98,115.37,1.68,2.09,1.24,0.04,1.70,0.14,2.05,2.01,4.03,0.25,4.54,1.98,0.85,,1.49,2.45,2.75,0.90,1.32,1.36,32.11,1.42,1.67,0.35,1.16,1.72,"Finfish and Shellfish Products"
2023-10-16,,"Staples","Blueberries, Frozen, Unsweetened","140.00 g",71.40,3.44,121.23,0.04,0.05,0.73,0.18,0.08,0.00,0.00,39.20,0.00,7.14,9.80,95.20,0.00,3.27,3.50,0.00,0.67,22.96,11.20,0.05,,0.25,7.00,0.21,15.40,75.60,0.14,1.40,0.10,17.04,3.78,5.84,0.04,0.13,11.83,13.26,0.90,0.00,0.13,0.39,0.07,0.00,0.16,0.23,0.03,0.03,0.05,0.01,0.07,0.02,0.01,,0.02,0.04,0.01,0.01,0.02,0.02,0.59,0.02,0.02,0.00,0.01,0.03,"Fruits and Fruit Juices"
2023-10-16,,"Staples","Great Lakes Collagen Peptides","3.00 g",11.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.75,,,,,,,,,,,,,,,,,0.26,0.22,0.17,0.00,0.31,0.66,0.03,0.36,0.04,0.08,0.11,0.03,0.06,0.38,2.75,0.10,0.05,0.00,0.02,0.07,""
2023-10-16,,"Staples","Mustard Seed, Ground","1.25 tsp",12.10,0.67,0.13,0.02,0.01,0.11,0.02,0.01,0.00,0.00,0.43,0.00,2.92,3.86,13.53,0.00,0.04,0.17,0.00,0.12,0.13,6.33,0.02,,0.22,8.81,0.06,19.72,17.57,4.96,0.31,0.14,0.67,0.29,0.00,0.22,0.09,0.16,0.38,0.86,0.00,0.54,0.24,0.05,0.00,0.09,0.14,0.03,0.05,0.06,0.02,0.13,0.04,0.02,,0.03,0.05,0.04,0.01,0.03,0.07,0.62,0.02,0.02,0.01,0.02,0.04,""
2023-10-16,,"Staples","Michaels of Brooklyn, Marinara Sauce","396.00 g",135.94,40.92,360.35,0.17,0.11,2.48,0.45,0.49,0.00,368.90,1998.17,2.89,29.37,70.40,997.76,9383.04,182.01,58.92,0.00,3.25,122.02,120.98,0.30,1.11,2.67,56.38,0.85,116.22,985.53,1.96,914.09,0.93,20.73,6.07,5.09,3.90,0.08,9.88,14.62,5.65,0.00,3.56,0.89,0.81,0.01,0.09,0.51,0.15,0.18,0.62,0.05,1.73,0.12,0.08,,0.12,0.18,0.16,0.04,0.15,0.13,4.55,0.14,0.14,0.04,0.08,0.14,""
2023-10-16,,"Staples","Turmeric, Ground","1.00 tsp",9.78,63.60,0.40,0.00,0.00,0.04,0.02,0.00,0.00,0.00,0.00,0.00,1.54,0.63,0.00,0.00,0.00,0.02,0.00,0.14,0.42,5.26,0.04,,1.72,6.52,0.62,9.37,65.17,0.19,0.85,0.14,2.10,0.71,0.01,1.29,0.07,0.10,1.39,0.10,0.00,0.01,0.02,0.06,0.00,0.00,0.02,0.01,0.02,0.06,0.00,0.04,0.01,0.00,,0.01,0.03,0.01,0.00,0.02,0.02,0.30,0.01,0.01,0.01,0.01,0.02,"Spices and Herbs"
2023-10-16,,"Staples","Black Pepper, Ground","1.00 tsp",5.77,12.86,0.29,0.00,0.00,0.03,0.03,0.01,0.00,0.28,7.13,0.58,0.26,0.39,10.44,0.46,0.63,0.00,0.00,0.02,3.77,10.19,0.03,,0.22,3.93,0.29,3.63,30.57,0.11,0.46,0.03,1.47,0.58,0.01,0.93,0.00,0.01,0.89,0.07,0.00,0.02,0.02,0.03,0.00,0.00,0.02,0.01,0.01,0.03,0.00,0.03,0.01,0.00,,0.01,0.02,0.01,0.00,0.01,0.03,0.24,0.01,0.01,0.00,0.01,0.01,"Spices and Herbs"
2023-10-16,,"Staples","Testosterone","0.25 cc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2023-10-16,,"Staples","Seed Probiotic","1.00 capsule",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2023-10-16,,"Sometimes","Egg w/ Salt","0.00 large egg",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,""
2023-10-16,,"Sometimes","Chickpeas / Garbanzo (Canned, Drained)","246.35 g",342.22,22.16,164.26,0.07,0.04,0.34,0.59,0.29,0.00,0.00,34.47,0.00,88.14,118.18,0.00,0.00,2.87,0.25,0.00,0.71,8.37,110.83,0.62,,2.63,64.01,2.08,209.27,310.22,7.63,75.37,1.55,55.47,15.76,0.00,33.95,9.87,9.87,39.47,6.82,0.00,1.20,2.38,0.53,0.00,0.09,1.83,0.75,1.64,2.06,0.24,3.06,0.73,0.48,,0.75,1.24,1.17,0.23,0.94,0.72,17.36,0.88,0.65,0.17,0.43,0.73,""
2023-10-16,,"Sometimes","Canned Beets","0.00 Can",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,""
2023-10-16,,"Supplements","Banana, Fresh","102.50 g",91.23,5.84,76.78,0.03,0.07,0.68,0.34,0.38,0.00,25.63,26.65,0.00,10.05,20.50,22.55,0.00,3.29,8.92,0.00,0.13,0.51,5.13,0.08,0.31,0.27,27.68,0.28,22.55,366.95,1.03,1.03,0.15,23.41,2.67,4.97,5.51,2.45,12.54,20.74,0.34,0.00,0.03,0.07,0.11,0.00,0.03,0.05,0.04,0.05,0.13,0.01,0.16,0.04,0.08,,0.03,0.07,0.05,0.01,0.05,0.03,1.12,0.04,0.03,0.01,0.01,0.05,"Fruits and Fruit Juices"
2023-10-16,,"Supplements","Strawberries, Frozen, Unsweetened","102.50 g",35.88,4.61,92.22,0.02,0.04,0.47,0.11,0.03,0.00,0.00,27.68,0.00,5.84,17.43,26.65,0.00,2.31,42.23,0.00,0.30,2.26,16.40,0.05,0.41,0.77,11.28,0.30,13.33,151.70,0.72,2.05,0.13,9.36,2.15,2.22,0.00,0.38,4.67,6.99,0.11,0.00,0.02,0.06,0.01,0.00,0.02,0.03,0.02,0.02,0.10,0.00,0.06,0.02,0.01,,0.01,0.02,0.02,0.00,0.01,0.01,0.44,0.02,0.01,0.01,0.01,0.01,"Fruits and Fruit Juices"
2023-10-16,,"Supplements","Strawberries, Frozen, Unsweetened","328.00 g",114.80,14.76,295.10,0.07,0.12,1.52,0.35,0.09,0.00,0.00,88.56,0.00,18.70,55.76,85.28,0.00,7.38,135.14,0.00,0.95,7.22,52.48,0.16,1.31,2.46,36.08,0.95,42.64,485.44,2.30,6.56,0.43,29.95,6.89,7.12,0.00,1.21,14.96,22.35,0.36,0.00,0.05,0.18,0.02,0.00,0.08,0.10,0.07,0.06,0.31,0.01,0.21,0.06,0.03,,0.03,0.07,0.06,0.00,0.04,0.04,1.41,0.05,0.04,0.02,0.05,0.04,"Fruits and Fruit Juices"
2023-10-16,,"Supplements","Walnuts","53.00 g",346.62,39.22,2.16,0.18,0.08,0.60,0.30,0.28,0.00,0.00,6.36,0.00,20.78,51.94,4.77,0.00,0.53,0.69,0.00,0.37,1.43,51.94,0.84,,1.54,83.74,1.81,183.38,233.73,2.60,1.06,1.64,7.27,3.55,0.05,0.03,1.29,1.38,3.61,34.56,0.00,4.73,25.00,3.25,0.00,4.81,20.19,0.37,1.21,0.97,0.11,1.49,0.43,0.21,,0.33,0.62,0.22,0.13,0.38,0.37,8.07,0.50,0.32,0.09,0.22,0.40,"Nut and Seed Products"
2023-10-16,,"Supplements","Raspberries, Frozen, Unsweetened","170.00 g",95.20,66.47,144.52,0.15,0.17,1.15,0.68,0.11,0.00,115.60,17.00,0.00,20.91,47.60,408.00,0.00,6.23,29.92,0.00,1.28,13.26,40.80,0.15,,1.29,39.10,1.04,51.00,312.80,0.34,6.80,0.53,21.34,7.31,5.51,0.32,0.75,11.12,13.94,1.38,0.00,0.04,0.06,0.11,0.00,0.03,0.03,0.47,0.06,0.07,0.00,0.18,0.03,0.02,,0.01,0.01,0.02,0.01,0.01,0.24,1.96,0.24,0.06,0.01,0.04,0.04,"Fruits and Fruit Juices"
2023-10-16,,"Supplements","Mango, frozen","422.00 g",253.20,1.90,352.20,0.12,0.16,2.82,0.83,0.50,0.00,37.98,2700.80,42.20,32.07,181.46,97.06,12.66,228.41,153.61,0.00,3.80,17.72,46.42,0.47,,0.68,42.20,0.27,59.08,708.96,2.53,4.22,0.38,63.22,6.75,19.75,0.97,29.41,57.65,55.79,1.60,0.00,0.59,0.30,0.39,0.00,0.22,0.08,0.35,0.13,0.29,0.00,0.41,0.14,0.08,,0.12,0.21,0.28,0.03,0.11,0.12,3.46,0.15,0.13,0.05,0.07,0.18,"Fruits and Fruit Juices"
2023-10-17,,"Staples","Broccoli, Cooked from Frozen","121.19 g",33.93,5.33,109.95,0.07,0.10,0.56,0.33,0.16,0.00,23.03,723.53,1.21,19.63,67.87,1327.07,0.00,61.30,48.60,0.00,1.37,106.77,39.99,0.04,0.61,0.74,15.76,0.27,59.39,172.10,0.85,13.33,0.34,6.48,3.64,0.61,0.82,0.61,1.78,2.84,0.15,0.00,0.01,0.07,0.02,0.00,0.05,0.00,0.16,0.20,0.29,0.03,0.51,0.13,0.07,,0.15,0.18,0.19,0.04,0.11,0.15,3.76,0.13,0.12,0.04,0.08,0.17,"Vegetables and Vegetable Products"
2023-10-17,,"Staples","Cauliflower, Cooked from Frozen","60.65 g",11.52,2.00,57.01,0.02,0.03,0.19,0.06,0.05,0.00,0.00,3.64,0.00,20.32,24.87,14.56,0.00,0.30,18.98,0.00,0.04,7.22,10.31,0.01,0.36,0.25,5.46,0.09,14.56,84.31,0.36,10.92,0.08,2.27,1.64,0.21,0.12,0.02,0.47,0.61,0.13,0.00,0.01,0.06,0.02,0.00,0.05,0.00,0.05,0.05,0.11,0.01,0.13,0.03,0.02,,0.04,0.06,0.05,0.01,0.04,0.04,0.98,0.05,0.04,0.01,0.02,0.05,"Vegetables and Vegetable Products"
2023-10-17,,"Staples","Brussels Sprouts, Cooked from Frozen","60.65 g",25.47,3.70,52.61,0.06,0.07,0.33,0.21,0.18,0.00,0.00,336.62,0.00,10.98,61.26,934.64,0.00,28.05,27.72,0.00,0.31,117.36,15.77,0.02,0.30,0.29,10.92,0.12,33.96,175.89,0.36,9.10,0.15,5.05,2.49,0.47,0.37,0.25,1.26,2.51,0.24,0.00,0.02,0.12,0.05,0.00,0.08,0.00,0.07,0.13,0.21,0.01,0.51,0.05,0.05,,0.09,0.10,0.10,0.02,0.06,0.08,2.21,0.09,0.08,0.02,0.03,0.10,"Vegetables and Vegetable Products"
2023-10-17,,"Staples","Carrots, Cooked From Frozen","60.65 g",22.44,11.16,54.78,0.02,0.02,0.25,0.11,0.05,0.00,2253.82,4972.84,120.70,5.22,6.67,410.01,0.00,513.34,1.39,0.00,0.49,8.25,21.23,0.05,,0.32,6.67,0.10,18.80,116.45,0.36,35.78,0.21,4.69,2.00,0.17,0.19,2.09,2.47,2.55,0.41,0.00,0.02,0.20,0.07,0.00,0.03,0.00,0.04,0.03,0.07,0.03,0.14,0.02,0.02,,0.03,0.04,0.04,0.01,0.02,0.02,0.35,0.02,0.07,0.00,0.02,0.03,"Vegetables and Vegetable Products"
2023-10-17,,"Staples","Kale, Cooked from Frozen","121.19 g",43.63,2.06,108.86,0.08,0.17,0.55,0.21,0.08,0.00,12.12,2097.87,31.51,0.61,78.78,6039.10,0.00,176.64,21.57,0.00,1.95,507.20,181.79,0.08,,1.02,30.30,0.66,50.90,174.52,1.21,19.39,0.33,6.42,2.79,0.51,0.35,0.30,1.47,3.53,1.47,0.00,0.11,0.72,0.19,0.00,0.41,0.31,0.18,0.20,0.32,0.05,0.40,0.17,0.21,,0.21,0.25,0.21,0.04,0.18,0.21,3.56,0.15,0.16,0.04,0.13,0.19,"Vegetables and Vegetable Products"
2023-10-17,,"Staples","Green Bell Peppers, Raw","16.83 g",3.37,1.90,15.80,0.01,0.00,0.08,0.02,0.04,0.00,3.53,35.01,1.18,0.93,1.68,57.40,0.00,3.11,13.53,0.00,0.01,1.20,1.68,0.01,0.07,0.06,1.68,0.02,3.37,29.46,0.00,0.50,0.02,0.78,0.29,0.19,0.00,0.02,0.40,0.49,0.03,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.01,0.00,0.04,0.00,0.03,0.01,0.00,,0.00,0.01,0.01,0.00,0.02,0.00,0.14,0.01,0.01,0.00,0.00,0.01,"Vegetables and Vegetable Products"
