Date,Energy (kcal),Oxalate (mg),Water (g),B1 (Thiamine) (mg),B2 (Riboflavin) (mg),B3 (Niacin) (mg),B5 (Pantothenic Acid) (mg),B6 (Pyridoxine) (mg),B12 (Cobalamin) (µg),Alpha-carotene (µg),Beta-carotene (µg),Beta-cryptoxanthin (µg),Choline (mg),Folate (µg),Lutein+Zeaxanthin (µg),Lycopene (µg),Vitamin A (µg),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (µg),Calcium (mg),Copper (mg),Iodine (µg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Potassium (mg),Selenium (µg),Sodium (mg),Zinc (mg),Carbs (g),Fiber (g),Fructose (g),Starch (g),Sucrose (g),Sugars (g),Net Carbs (g),Fat (g),Cholesterol (mg),Monounsaturated (g),Polyunsaturated (g),Saturated (g),Trans-Fats (g),Omega-3 (g),Omega-6 (g),Alanine (g),Arginine (g),Aspartic acid (g),Cystine (g),Glutamic acid (g),Glycine (g),Histidine (g),Hydroxyproline (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Phenylalanine (g),Proline (g),Protein (g),Serine (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g),Completed
2023-11-01,2085.01,305.27,1952.35,1.62,6.66,44.09,13.62,4.24,89.56,3030.43,13937.39,2035.92,904.62,1029.62,9669.26,8274.34,12244.77,393.96,926.35,16.44,897.27,1185.21,19.45,168.17,26.71,617.35,10.75,2122.41,5119.71,128.21,2669.70,15.06,251.74,68.86,41.84,54.28,31.52,110.52,181.25,79.13,579.90,14.97,40.51,11.08,0.47,12.52,28.46,6.81,8.84,13.59,1.51,19.09,6.92,3.39,0.36,5.39,9.29,8.44,2.54,5.67,5.58,124.26,5.58,5.31,1.34,3.92,6.39,false
2023-11-02,1768.88,231.88,1530.62,1.27,6.66,40.08,13.44,3.39,88.05,1656.61,8689.89,1107.40,1114.75,847.48,5802.90,7552.33,11483.22,284.02,1034.59,13.88,518.58,1024.42,18.06,216.38,23.91,536.61,7.64,2007.25,4294.99,153.76,4012.60,13.76,191.48,51.07,30.16,47.99,27.14,83.66,139.15,65.44,940.38,15.66,25.27,11.82,0.45,9.15,16.73,6.90,8.39,13.44,1.64,18.48,6.76,3.29,0.36,5.51,9.45,8.78,2.77,5.73,5.52,123.32,5.86,5.38,1.35,4.08,6.48,false
2023-11-03,2452.13,284.33,1631.04,1.86,10.32,46.30,14.26,4.28,89.87,1689.99,8426.75,1063.61,868.77,934.07,5433.38,7930.54,11131.09,360.74,1143.81,16.54,525.82,1166.63,18.59,168.38,29.32,601.23,10.77,2319.96,4777.74,139.85,8823.44,16.33,276.67,69.07,33.28,98.46,28.06,92.05,205.92,101.83,587.68,30.75,43.33,14.17,0.49,12.51,29.58,7.34,9.16,14.55,1.53,19.90,7.35,3.55,0.36,5.63,9.79,9.12,2.73,5.88,5.83,136.96,5.87,5.69,1.39,4.20,6.66,false
2023-11-04,2095.32,220.42,1440.68,1.15,6.19,40.12,12.19,3.38,88.35,1689.96,8665.46,1066.70,824.42,797.52,5382.24,8002.58,11521.43,279.17,948.57,12.38,509.85,956.46,18.09,167.31,22.29,392.51,7.07,1792.96,3887.22,123.27,1613.57,12.33,190.89,48.95,29.50,51.53,28.15,82.24,140.72,43.69,575.30,10.18,15.67,7.61,0.46,7.46,8.83,6.13,7.29,11.97,1.32,16.55,6.24,2.98,0.36,4.75,8.26,7.87,2.35,4.99,4.93,125.11,4.81,4.71,1.18,3.52,5.64,false
2023-11-05,2070.26,265.19,1600.52,1.35,6.28,42.89,12.56,3.79,84.27,2833.12,11592.55,2015.79,867.18,889.71,8949.26,3079.73,11013.23,370.99,1210.96,14.23,785.19,1236.98,17.21,168.64,25.01,508.41,9.23,2085.96,4541.30,142.06,1346.54,13.73,268.07,60.01,54.76,55.80,21.01,130.55,206.24,69.25,577.84,18.62,28.29,10.38,0.46,10.36,18.48,6.97,8.62,13.99,1.47,18.55,7.12,3.49,0.36,5.50,9.40,8.92,2.67,5.68,5.67,125.22,5.59,5.50,1.35,4.06,6.48,false
2023-11-06,1939.03,482.23,1972.80,1.60,6.58,43.18,13.59,4.27,87.69,3227.99,14449.75,2194.78,893.53,1331.97,10108.12,7615.91,12020.48,362.00,953.88,15.03,912.00,1211.39,18.77,167.53,26.72,577.62,10.38,2141.34,5596.44,128.00,1876.36,15.05,250.18,69.75,31.80,55.79,52.36,113.02,179.09,61.89,572.17,12.40,28.39,9.42,0.46,10.12,18.55,6.82,8.41,13.46,1.52,19.71,6.81,3.38,0.36,5.41,9.19,8.56,2.55,5.64,5.53,125.38,5.56,5.34,1.36,3.95,6.39,false
2023-11-07,2284.77,260.30,1616.99,1.85,12.12,43.76,12.16,4.00,62.24,1713.93,8676.14,1060.74,718.36,829.13,5524.42,8665.71,6734.99,293.22,1509.38,16.31,540.47,1317.07,11.56,167.60,25.23,535.57,9.41,2185.84,4538.43,148.01,2041.77,13.05,274.15,64.44,46.35,77.50,29.06,119.49,208.29,83.95,457.17,24.21,34.07,11.21,0.33,11.71,21.72,7.79,9.15,15.25,1.40,20.64,7.60,3.61,0.36,5.82,9.84,9.66,2.83,5.89,5.94,136.73,6.01,6.07,1.38,4.30,6.76,false
2023-11-08,2977.05,271.40,1718.38,1.80,3.66,34.74,6.59,3.51,12.76,2694.14,11283.16,1762.04,549.76,709.90,8554.08,9039.63,1163.96,332.66,1108.80,19.76,792.70,1265.32,2.45,168.65,25.71,606.08,9.61,2052.36,4890.63,146.38,2097.58,16.65,338.54,72.22,49.65,126.79,19.60,119.54,264.77,98.02,259.76,44.69,24.04,15.20,0.60,8.75,13.41,7.33,8.69,14.12,1.44,21.32,7.46,3.64,0.36,5.62,9.34,9.43,2.78,5.51,6.19,140.25,5.62,5.57,1.20,3.98,6.31,false
2023-11-09,2160.62,364.99,1787.18,1.28,3.03,29.30,5.72,2.96,12.25,3006.74,13454.80,2021.06,470.56,691.45,9522.02,7799.73,1376.35,373.18,1322.40,21.03,859.34,1401.13,2.60,168.17,18.95,552.28,8.98,1794.73,4824.97,116.36,1827.87,9.04,244.07,66.18,39.62,49.86,35.71,111.09,176.31,59.31,189.24,18.56,21.71,6.51,0.07,9.12,12.94,5.97,7.50,12.49,1.01,17.49,6.10,2.82,0.36,4.54,7.37,7.33,2.10,4.59,4.69,121.50,4.70,4.70,1.08,3.18,5.17,false
2023-11-10,1737.80,300.59,1816.24,1.33,2.97,35.05,6.13,2.79,16.81,3038.78,13514.42,1958.85,541.52,688.10,9658.11,9233.98,1398.46,331.02,1856.00,17.68,867.50,1609.81,2.49,167.34,18.42,510.82,8.42,2048.90,4633.70,149.31,2315.88,9.36,210.70,62.83,34.29,44.69,28.72,92.29,146.66,56.45,265.60,12.48,22.99,6.79,0.10,10.85,12.29,7.43,8.36,14.47,1.11,19.31,7.08,3.20,0.36,5.36,8.63,8.99,2.67,5.19,5.53,123.54,5.60,5.71,1.26,3.87,6.12,false
2023-11-11,586.42,158.37,435.26,0.54,1.67,3.36,1.87,1.00,0.97,1337.40,5466.42,1032.47,140.87,304.61,4320.99,177.56,554.29,91.66,0.00,3.88,359.81,339.32,1.02,165.67,9.30,194.62,4.53,433.85,1238.84,16.58,166.90,3.19,86.61,30.32,1.87,38.70,12.19,16.65,55.83,16.43,0.00,2.70,5.82,1.26,0.00,4.21,2.78,1.58,2.56,3.37,0.37,5.20,1.88,0.84,0.36,1.30,2.05,1.91,0.40,1.49,1.61,31.69,1.46,1.20,0.29,0.79,1.39,false
2023-11-15,1780.10,409.69,523.99,0.39,0.65,5.48,2.63,1.19,0.00,14.63,185.43,0.00,151.36,522.19,61.74,0.00,15.75,26.72,0.00,10.68,19.38,353.21,1.74,0.18,8.17,319.20,4.49,605.33,2921.98,14.10,470.17,4.46,211.90,41.00,38.04,52.29,38.24,117.54,170.35,40.55,0.00,13.70,10.05,2.64,0.03,0.38,9.00,1.42,2.72,3.98,0.44,7.00,1.44,0.82,,1.27,2.14,1.71,0.39,1.58,1.49,106.17,1.52,1.11,0.33,0.77,1.37,false
2023-11-16,592.06,140.59,288.50,0.21,0.55,12.38,1.69,0.80,0.61,0.00,38.63,1.35,20.21,208.51,23.60,0.00,110.84,8.25,0.00,1.57,1.61,545.96,0.58,,4.30,139.98,1.45,809.68,1575.89,74.60,279.77,3.56,39.72,8.86,5.81,0.89,17.39,29.55,30.73,28.51,89.30,13.39,8.58,4.51,0.00,2.84,3.89,2.74,2.89,4.77,0.53,7.58,2.21,1.33,,2.09,3.67,4.00,1.30,1.83,1.68,47.28,1.92,1.98,0.52,1.52,2.36,false
2023-11-18,1499.76,132.66,881.66,0.52,0.38,4.68,2.02,0.92,0.00,229.90,1288.88,136.39,150.35,273.05,690.81,5551.60,122.67,240.86,0.00,7.74,103.92,313.03,1.48,2.36,7.45,209.25,5.24,477.24,1971.63,11.58,902.27,3.91,153.61,36.18,26.69,35.37,24.21,78.61,115.83,57.97,0.00,19.84,11.39,4.14,0.02,1.16,9.59,1.21,2.41,3.65,0.37,5.44,1.22,0.69,,1.06,1.79,1.51,0.35,1.33,1.15,112.17,1.28,0.95,0.27,0.65,1.12,false
2023-11-19,2119.74,289.24,1100.53,0.64,0.84,19.03,4.59,1.52,7.67,297.01,1110.18,309.76,335.18,335.68,998.78,4197.01,148.30,237.68,899.00,11.18,116.52,914.30,2.48,1.64,11.68,410.72,7.61,1258.32,3459.89,163.03,1299.98,7.26,286.42,62.26,67.97,38.43,17.76,153.87,223.11,65.42,128.65,16.05,23.14,6.31,0.06,5.34,16.89,4.56,5.17,8.50,0.71,11.19,3.60,1.73,,2.87,4.80,4.68,1.45,2.92,3.49,119.91,3.53,3.06,0.69,2.08,3.27,false
2023-11-20,1286.24,66.28,525.83,0.35,1.05,34.29,3.77,0.92,21.04,230.30,440.12,928.11,412.41,76.96,338.04,0.00,169.54,61.28,2465.00,6.97,3.76,1362.22,0.96,,5.22,245.00,0.86,1777.12,2554.37,170.17,1627.87,5.28,163.73,11.44,60.71,2.25,15.17,137.55,151.35,27.71,352.75,7.61,8.75,4.51,0.12,5.40,2.56,6.49,6.64,13.05,0.84,14.74,6.29,2.70,,4.73,7.77,8.62,2.81,4.24,4.57,106.85,4.57,5.25,1.10,3.66,5.48,false
2023-11-23,2044.08,206.71,2123.41,1.29,2.44,40.04,7.23,3.36,17.72,6826.45,24628.51,438.33,596.59,954.02,26126.36,6661.92,2426.17,404.55,2076.40,24.63,2269.83,2049.08,2.42,4.93,16.74,598.27,6.78,2315.39,6013.25,212.19,2687.73,9.82,272.91,70.61,71.00,16.78,15.67,161.18,201.06,68.14,297.14,22.56,23.58,9.25,0.12,10.42,13.21,7.52,8.23,15.11,1.20,20.09,7.03,3.71,,5.96,9.23,9.54,2.86,5.43,5.55,131.04,5.76,6.33,1.35,4.19,6.84,false
2023-11-24,1871.51,249.91,1478.28,1.05,1.87,34.15,5.75,2.56,15.84,4161.20,15196.52,255.62,480.90,616.58,15465.14,8438.43,1513.86,271.56,1856.00,21.32,1362.21,1682.50,2.27,3.94,14.30,539.67,5.55,2011.76,5183.65,350.46,2668.00,8.54,230.43,51.59,66.31,14.48,11.03,147.24,178.04,73.36,265.60,30.39,21.31,10.45,0.12,8.49,13.19,6.38,7.10,13.11,1.02,17.52,6.09,3.04,,4.94,7.84,8.04,2.56,4.57,4.83,110.62,4.82,5.26,1.13,3.55,5.70,false
2023-11-25,1966.20,282.72,1812.13,1.17,2.05,34.00,6.08,2.85,14.60,4805.37,17605.46,295.15,494.74,702.12,18085.36,9770.81,1738.19,330.50,1711.00,25.49,1605.04,1705.60,2.42,5.73,17.46,570.05,6.44,1999.80,5530.57,244.26,2985.25,9.16,258.32,59.79,70.46,17.94,12.80,156.70,197.64,73.78,244.85,34.74,16.87,10.66,0.12,7.27,9.92,6.24,6.96,12.83,1.02,17.69,5.93,3.04,,4.88,7.69,7.80,2.42,4.56,4.74,109.82,4.76,5.16,1.13,3.45,5.64,false
2023-11-26,2439.69,253.23,1510.09,1.81,2.73,35.33,7.95,2.73,13.94,3369.49,12430.34,221.63,822.42,781.47,13192.94,6661.92,1430.65,245.09,1576.44,33.03,1156.18,1666.96,2.77,68.69,19.27,590.77,6.75,2182.35,5159.38,235.91,2826.88,11.36,308.32,52.90,76.01,60.99,9.94,170.05,254.68,95.65,701.52,37.88,28.66,14.87,0.15,7.84,21.43,6.75,8.00,13.55,1.57,21.55,6.24,3.24,,5.60,9.01,8.16,2.85,5.48,6.06,124.23,6.03,5.59,1.35,4.03,6.46,false
2023-11-27,1663.29,121.77,1577.30,1.12,1.87,36.91,6.04,2.30,16.33,4215.48,16653.59,257.45,501.77,645.63,18009.38,9326.68,1639.77,277.71,1925.40,17.95,1399.72,1643.38,1.69,4.00,15.80,420.30,4.46,1959.13,5006.66,145.73,3038.86,8.31,205.07,56.68,47.39,12.16,11.13,112.73,147.50,53.81,273.90,21.92,10.39,7.21,0.13,7.25,3.41,6.48,6.79,13.02,0.97,17.23,6.02,2.98,,5.00,7.83,8.38,2.53,4.52,4.70,120.01,4.78,5.41,1.12,3.60,5.75,false
2023-11-29,1400.64,147.69,1308.15,1.01,1.73,33.55,5.44,2.22,15.10,3534.05,13844.45,217.05,458.13,559.84,15100.50,6883.98,1370.70,230.28,1778.60,16.80,1155.68,1462.27,1.58,3.26,12.63,421.87,4.17,1845.80,4195.74,201.52,2413.75,7.93,157.46,41.55,35.97,15.25,12.05,87.43,115.21,51.30,253.15,22.59,11.76,7.11,0.11,6.91,5.32,6.00,6.44,12.10,0.92,16.10,5.66,2.82,,4.63,7.33,7.75,2.37,4.24,4.40,102.89,4.43,4.97,1.05,3.34,5.35,false
2023-11-30,2148.36,157.39,1250.13,1.26,1.89,50.81,7.60,3.28,13.88,3481.62,13803.76,219.56,558.52,586.25,15187.57,5107.47,1408.09,211.44,1526.36,16.42,1155.10,1458.68,2.29,2.67,15.61,539.01,4.78,2164.26,5048.28,263.10,2208.63,10.49,264.79,50.84,74.93,19.83,19.29,175.54,213.23,71.96,348.21,24.65,18.83,10.60,0.23,7.45,11.86,8.10,9.10,15.44,1.56,22.46,7.59,4.05,,6.79,10.37,10.96,3.46,5.87,6.21,144.89,5.84,6.55,1.53,4.66,7.34,false
2023-12-01,1755.35,240.60,1813.63,1.62,2.20,34.95,6.78,2.86,12.13,5838.30,22962.75,363.66,515.55,895.53,25258.08,10437.00,2220.68,360.61,1437.07,25.95,1915.55,1651.66,2.61,5.55,20.69,601.26,6.80,2120.63,5205.80,120.68,3111.64,11.27,186.89,61.21,33.81,17.93,16.73,88.68,124.49,79.55,203.35,37.63,22.08,11.15,0.11,5.67,14.73,6.21,7.55,12.62,1.05,18.55,5.80,3.04,,5.00,7.73,7.69,2.26,4.69,4.67,111.45,4.90,5.23,1.15,3.47,5.75,false
2023-12-04,1011.78,92.35,1284.75,0.90,1.66,33.69,4.81,1.78,16.38,3899.54,15233.84,243.65,464.87,568.28,16805.27,6462.06,1508.32,238.56,1930.60,14.96,1277.27,1486.17,1.09,3.07,11.36,322.64,3.31,1804.67,3431.57,140.80,2476.02,7.09,79.84,34.28,6.93,9.17,9.78,25.53,44.81,37.84,274.73,16.16,9.05,6.04,0.11,5.21,2.45,6.23,6.48,12.38,0.87,16.02,5.78,2.85,,4.81,7.53,8.15,2.46,4.32,4.37,105.07,4.57,5.23,1.08,3.50,5.51,false
2023-12-05,914.83,63.99,1279.05,1.02,1.86,34.30,5.33,1.86,16.33,4778.00,18472.23,318.56,492.59,678.84,21577.50,0.00,1817.71,265.18,1928.16,13.07,1595.16,1544.25,1.06,2.90,10.79,332.13,3.43,1873.39,3248.02,142.83,1595.45,7.49,86.31,39.07,4.26,10.25,12.59,23.82,46.31,22.58,273.90,4.51,7.78,3.92,0.09,5.37,1.03,6.51,6.85,12.65,0.92,16.02,5.99,3.04,,5.09,7.88,8.50,2.53,4.55,4.57,109.74,4.82,5.49,1.13,3.65,5.83,false
2023-12-16,1720.71,149.60,2108.52,1.24,2.01,38.38,5.91,2.57,15.84,5341.52,20949.48,325.24,525.35,782.14,22600.95,12213.51,2045.90,338.32,1870.40,20.63,1736.70,1702.25,1.52,4.58,16.32,420.56,4.86,1998.64,4734.43,140.26,3386.31,8.73,167.16,48.41,11.28,12.99,13.21,68.21,117.71,55.57,265.60,26.89,12.73,8.46,0.13,5.81,5.16,6.60,7.01,13.28,0.97,18.14,6.06,3.10,,5.17,8.00,8.54,2.52,4.69,4.72,116.83,4.94,5.58,1.16,3.70,5.92,false
2023-12-17,1533.25,184.98,1914.36,1.33,1.81,30.96,5.82,2.33,15.61,3510.23,13134.50,309.44,585.41,813.77,13668.63,25411.63,1370.41,363.60,1542.96,15.47,1042.56,1376.65,1.80,164.66,15.26,415.93,3.97,1820.52,5145.76,130.19,2585.02,8.53,194.86,46.38,28.62,28.39,16.10,86.49,146.32,45.23,378.26,18.68,8.97,7.28,0.10,4.98,3.28,5.93,6.33,12.47,0.98,16.56,5.43,2.80,,4.78,7.61,7.86,2.32,4.57,4.49,107.32,4.92,4.96,1.11,3.37,5.52,false
2023-12-18,353.17,61.48,407.85,0.47,0.41,4.86,1.14,0.77,0.05,1195.52,5247.88,188.43,68.35,219.23,5515.17,3434.38,494.99,118.73,1.21,3.84,409.64,246.90,0.48,83.89,5.01,128.73,1.57,268.11,1196.71,10.52,422.84,1.93,59.12,14.58,3.67,4.00,3.27,30.88,44.11,9.07,0.00,2.57,3.73,0.91,0.00,2.95,1.09,0.73,0.89,1.32,0.14,2.48,0.94,0.35,0.25,0.53,0.75,0.70,0.17,0.54,0.75,15.28,0.55,0.53,0.12,0.32,0.65,false
2023-12-19,468.13,132.11,514.60,0.53,0.68,12.83,1.92,0.89,5.98,1218.15,5150.81,126.66,178.00,234.00,5450.57,4003.51,509.07,121.56,691.41,5.43,420.65,591.94,0.74,166.45,7.24,186.31,2.73,752.00,1666.49,58.10,932.43,3.41,37.94,16.44,3.95,6.47,3.50,11.64,21.07,19.08,98.77,4.63,8.34,2.44,0.04,4.95,3.45,2.63,2.85,5.05,0.37,6.79,2.91,1.11,0.36,1.89,2.99,3.14,0.97,1.76,2.12,44.18,1.87,2.03,0.44,1.37,2.23,false
2023-12-26,1739.61,310.84,1644.36,1.42,3.61,27.60,5.79,2.86,11.94,2374.85,10475.55,614.61,456.78,674.92,11120.05,4774.00,1040.32,404.54,1243.65,29.41,831.88,1410.50,2.76,8.47,20.58,507.39,6.93,1797.86,4685.55,119.97,2448.15,9.25,216.00,60.08,26.75,45.41,19.24,75.07,154.07,62.96,180.12,16.88,27.83,7.54,0.08,9.58,18.93,5.74,6.76,12.23,0.95,15.96,5.37,2.86,,4.58,7.52,7.35,2.11,4.61,4.66,107.55,4.92,4.78,1.11,3.10,5.37,false
2023-12-27,2614.14,347.59,2640.20,2.17,5.06,40.53,8.34,3.91,12.76,4167.40,18002.89,725.84,587.87,1143.77,19014.30,10570.61,1749.93,657.32,1281.25,37.91,1481.29,1725.84,3.42,7.90,26.31,654.44,11.71,2175.46,6076.46,135.00,3088.16,12.29,328.81,82.28,61.67,68.34,29.65,150.13,243.48,105.85,202.10,38.96,38.83,13.00,0.15,10.97,27.56,7.07,9.08,14.75,1.34,21.68,6.43,3.54,,5.67,9.04,8.72,2.53,5.61,5.75,132.40,5.77,5.80,1.35,3.93,6.46,false
2023-12-28,2812.37,374.87,2876.39,1.92,3.43,40.33,7.73,3.78,12.98,2522.32,10921.84,383.43,550.53,924.63,11506.23,6557.30,1081.18,425.08,1412.65,43.41,942.32,1608.12,3.49,5.78,25.06,660.29,10.32,2129.57,5819.44,152.84,4971.77,13.04,369.40,74.95,68.91,101.58,33.37,168.38,292.29,109.51,218.19,50.66,27.03,14.89,0.18,8.88,18.99,6.85,8.56,13.94,1.35,21.31,6.25,3.44,0.00,5.37,8.81,8.47,2.56,5.44,5.80,128.44,5.60,5.50,1.33,3.76,6.20,false
2023-12-29,1957.25,266.66,1588.51,1.17,1.30,25.27,5.21,2.48,10.19,1621.00,6774.10,541.11,455.68,561.39,7225.53,5982.59,694.59,470.93,1164.66,13.12,534.04,1267.99,2.22,7.51,17.05,430.66,4.74,1734.24,5152.42,108.29,4553.73,10.43,214.95,51.61,17.64,64.51,22.48,66.12,161.31,60.27,179.61,17.42,8.78,24.12,0.18,4.01,3.80,5.43,5.91,12.03,0.91,15.07,5.24,2.66,0.00,4.33,7.09,7.35,2.10,4.31,4.43,151.52,4.53,4.43,1.05,3.00,5.05,false
2023-12-30,2423.27,650.30,2592.87,1.72,2.77,34.91,7.41,3.41,12.77,3491.92,15178.98,508.00,653.49,933.92,16751.21,8126.78,1480.98,435.81,1436.18,27.85,1296.16,1805.65,3.61,173.40,25.11,648.12,10.54,2275.89,5713.91,146.65,5215.87,11.99,322.22,104.27,42.19,79.44,22.97,108.35,216.00,83.06,205.01,36.67,23.03,10.88,0.10,8.69,12.61,7.41,8.80,15.66,1.27,21.24,6.66,3.61,0.00,5.94,9.62,9.48,2.59,6.06,6.03,137.98,6.37,6.09,1.41,3.97,6.82,false
2023-12-31,1768.28,369.76,2771.60,1.59,3.86,22.49,6.45,3.05,6.39,4055.69,17286.64,639.51,413.15,907.79,18858.34,5167.81,1655.99,413.47,584.36,17.14,1418.32,1267.51,2.58,170.17,23.01,546.97,8.89,1451.48,4725.83,112.11,2123.77,10.02,267.80,71.73,40.57,54.31,36.04,121.87,194.28,50.46,83.00,16.22,12.65,6.95,0.05,4.76,6.39,4.59,5.92,9.40,0.89,13.95,4.58,2.37,0.36,3.66,5.71,5.54,1.45,3.75,3.90,89.26,3.76,3.68,0.83,2.39,4.23,false
2024-01-01,2062.93,340.99,2095.16,1.52,3.39,24.22,6.89,2.81,9.52,3272.46,14349.04,606.10,706.96,939.08,15163.35,16261.98,1535.36,356.46,960.46,36.64,1130.66,1472.93,2.45,221.83,26.28,568.01,10.63,1765.35,5429.51,125.60,3601.82,10.30,266.03,63.19,20.67,44.85,14.24,112.18,201.45,69.81,501.25,20.02,17.64,10.26,0.06,9.14,9.86,5.77,6.59,11.71,1.12,16.09,5.43,2.78,0.36,4.74,7.55,7.35,2.10,4.77,4.94,115.71,5.27,4.80,1.13,3.16,5.51,false
2024-01-02,2130.79,361.10,1947.92,2.02,3.20,28.57,7.98,2.92,10.33,3278.90,14691.68,879.48,464.46,1379.47,15615.12,6089.83,1427.37,514.77,1001.48,17.25,1190.24,1687.98,3.03,168.77,30.27,613.51,11.33,2072.15,5695.02,99.57,2046.09,13.17,300.61,79.95,40.50,76.63,35.56,117.92,218.72,70.63,124.50,18.79,26.67,14.24,0.13,7.78,17.82,5.89,7.43,12.02,1.16,16.96,5.79,2.93,0.36,4.66,7.58,7.30,1.82,4.71,5.00,111.64,4.79,4.61,1.05,3.20,5.53,false
2024-01-03,2844.29,389.27,2874.34,2.13,3.59,32.99,7.90,3.15,10.88,5067.17,21311.53,822.72,592.49,1751.08,22016.55,5836.64,2061.17,706.58,1162.77,22.15,1590.22,1865.78,3.73,170.66,32.51,798.22,17.05,2139.76,7377.23,115.29,2684.66,13.29,403.11,100.49,61.69,47.91,51.15,211.24,299.16,99.66,166.00,20.67,29.21,10.63,0.09,10.73,16.75,6.89,8.65,14.75,1.29,20.16,6.83,3.37,0.36,5.21,8.57,8.59,2.31,5.41,5.97,138.08,5.83,5.38,1.31,3.75,5.93,false
2024-01-04,1593.96,321.95,1854.22,1.73,3.22,30.29,5.94,2.37,10.93,4614.99,19273.56,563.75,452.80,1177.29,19857.17,6022.24,1862.11,415.66,1168.31,18.94,1451.00,1487.82,2.58,168.66,23.60,558.10,18.59,1778.91,4767.94,105.30,1880.83,11.89,187.62,61.14,36.48,13.00,27.94,97.02,124.51,62.92,166.83,19.64,26.45,8.06,0.09,10.52,14.71,5.76,6.59,11.70,0.96,16.03,5.70,2.71,0.36,4.22,6.94,7.03,1.99,4.20,4.88,103.68,4.63,4.50,1.07,3.14,4.89,false
2024-01-05,2998.60,391.81,2489.50,2.15,3.29,27.42,7.53,3.03,7.91,4994.01,20264.96,811.45,609.10,1682.96,21777.78,4234.45,1958.64,509.61,814.77,19.32,1561.58,1838.32,3.74,170.03,37.55,727.22,19.93,2059.81,6043.22,107.62,2929.74,14.26,468.79,108.52,31.33,111.87,51.84,150.87,357.25,78.45,116.20,16.36,20.31,8.99,0.07,8.15,10.14,6.76,9.30,14.90,1.43,21.20,6.69,3.53,0.36,5.42,8.93,8.77,2.20,5.93,6.19,144.35,6.20,5.36,1.35,3.72,6.04,false
2024-01-06,2414.24,291.98,1826.61,2.09,3.72,25.97,8.76,2.68,7.40,3797.69,16213.69,708.89,718.11,1332.08,16948.38,14128.17,1701.72,349.56,832.67,24.64,1192.41,1264.92,2.85,213.13,32.84,529.48,12.00,1604.97,4658.31,131.05,3528.65,11.24,303.07,76.27,30.69,82.83,31.37,91.15,224.92,95.62,392.61,26.64,17.84,12.56,0.08,5.25,11.35,5.76,7.25,11.54,1.47,19.61,5.37,2.96,0.36,4.75,7.90,7.41,2.14,5.03,5.93,120.44,5.50,4.54,1.20,3.37,5.29,false
2024-01-07,2161.94,366.65,1639.55,2.27,3.10,18.29,6.11,2.31,1.46,3657.63,16678.93,482.70,446.03,1473.06,17912.54,14223.49,1590.80,333.61,26.24,16.99,1234.87,963.71,2.99,120.59,27.53,547.29,13.57,1359.54,4546.19,77.09,2112.29,11.18,281.75,70.03,27.08,104.74,31.91,88.51,209.22,90.31,79.23,19.17,34.72,12.40,0.20,6.70,26.63,3.97,5.86,9.09,1.06,15.70,3.95,2.19,0.36,3.14,5.52,4.90,1.18,3.78,4.60,88.15,4.18,3.06,0.86,2.33,3.52,false
2024-01-08,2658.95,538.83,1746.83,2.09,3.49,20.12,7.09,2.82,4.06,4816.60,18753.37,517.29,481.58,1318.31,21036.45,8733.47,1861.11,360.64,330.49,22.43,1530.76,1341.83,3.91,120.68,42.40,704.87,17.45,1735.76,5087.64,313.36,2456.93,14.21,346.72,87.71,46.27,69.08,39.59,137.85,257.20,116.02,100.00,32.01,21.63,17.18,0.14,5.03,15.22,4.84,7.39,10.43,1.17,16.96,4.74,2.58,0.36,3.85,6.45,5.85,1.49,4.27,5.19,105.89,5.11,3.73,1.02,2.76,4.45,false
2024-01-09,2895.34,399.59,2174.19,2.34,3.84,30.47,8.36,3.56,7.11,4962.54,22090.02,712.93,578.62,1637.71,25192.75,6285.26,2101.71,701.09,724.55,25.60,1703.31,1541.57,4.32,123.23,32.42,795.91,12.55,2227.72,6483.77,97.23,2105.65,14.60,415.11,93.51,58.01,70.40,97.30,220.68,318.45,104.57,102.92,31.49,37.80,12.66,0.48,8.50,27.18,6.51,9.05,14.32,1.39,21.59,6.44,3.31,0.36,4.99,8.45,7.92,2.08,5.44,6.33,129.53,5.93,5.03,1.34,3.57,5.72,false
2024-01-10,2171.11,363.37,1961.77,2.09,3.46,24.95,7.35,3.01,5.93,4918.34,21019.23,871.67,523.11,1511.02,25177.90,6911.67,2012.75,622.99,585.25,20.43,1699.97,1394.32,3.07,122.67,28.48,621.20,13.63,1826.04,5498.49,81.64,2113.38,12.49,275.62,87.59,32.47,68.29,37.20,105.80,185.11,87.10,83.00,22.92,27.25,11.02,0.17,6.90,18.68,5.67,7.34,12.34,1.18,18.31,5.51,2.90,0.36,4.29,7.33,7.01,1.79,4.70,5.56,113.34,5.10,4.35,1.13,3.10,4.91,false
